Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3309930074,00000125,false,Rx,1,6,00,00,00,05,0A,A3,00,00
3309931183,00000165,false,Rx,1,8,01,F3,00,00,00,00,0A,83
3309935101,00000130,false,Rx,1,7,80,00,01,42,90,0B,1A,00
3309937117,00000110,false,Rx,1,5,91,00,00,0C,48,00,00,00
3309937346,00000115,false,Rx,1,7,80,00,80,00,00,0C,FF,00
3309938134,00000120,false,Rx,1,8,00,04,84,B0,00,00,0B,0C
3309940082,00000125,false,Rx,1,6,00,00,00,05,0B,BE,00,00
3309941178,00000165,false,Rx,1,8,01,F4,00,00,00,00,0B,51
3309945102,00000130,false,Rx,1,7,80,00,01,41,90,0C,C5,00
3309947132,00000110,false,Rx,1,5,91,00,00,0D,55,00,00,00
3309947361,00000115,false,Rx,1,7,80,00,80,00,00,0D,E2,00
3309948134,00000120,false,Rx,1,8,00,04,84,B0,00,00,0C,5F
3309950082,00000125,false,Rx,1,6,00,00,00,05,0C,ED,00,00
3309951184,00000165,false,Rx,1,8,01,F4,00,00,00,00,0C,02
3309955107,00000130,false,Rx,1,7,80,00,01,42,90,0D,54,00
3309957152,00000110,false,Rx,1,5,91,00,00,0E,72,00,00,00
3309957373,00000115,false,Rx,1,7,80,00,80,00,00,0E,C5,00
3309957621,00000135,false,Rx,1,8,08,00,34,00,00,00,00,00
3309958138,00000120,false,Rx,1,8,00,04,84,B0,00,00,0D,42
3309960082,00000125,false,Rx,1,6,00,00,00,05,0D,F0,00,00
3309961177,00000165,false,Rx,1,8,01,F4,00,00,00,00,0D,1F
3309965101,00000130,false,Rx,1,7,80,00,01,42,90,0E,73,00
3309967170,00000110,false,Rx,1,5,91,00,00,0F,6F,00,00,00
3309967399,00000115,false,Rx,1,7,80,00,80,00,00,0F,D8,00
3309968133,00000120,false,Rx,1,8,00,04,84,B0,00,00,0E,65
3309970081,00000125,false,Rx,1,6,00,00,00,05,0E,D7,00,00
3309971177,00000165,false,Rx,1,8,01,F4,00,00,00,00,0E,38
3309975101,00000130,false,Rx,1,7,80,00,01,43,90,0F,E1,00
3309977178,00000110,false,Rx,1,5,91,00,00,00,D4,00,00,00
3309977407,00000115,false,Rx,1,7,80,00,80,00,00,00,63,00
3309978133,00000120,false,Rx,1,8,00,04,84,B0,00,00,0F,78
3309980081,00000125,false,Rx,1,6,00,00,00,05,0F,CA,00,00
3309981178,00000165,false,Rx,1,8,01,F4,00,00,00,00,0F,25
3309985104,00000130,false,Rx,1,7,80,00,01,42,90,00,D5,00
3309987188,00000110,false,Rx,1,5,91,00,00,01,C9,00,00,00
3309987417,00000115,false,Rx,1,7,80,00,80,00,00,01,7E,00
3309988143,00000120,false,Rx,1,8,00,04,84,B0,00,00,00,C3
3309990083,00000125,false,Rx,1,6,00,00,00,05,00,71,00,00
3309991179,00000165,false,Rx,1,8,01,F4,00,00,00,00,00,9E
3309995112,00000130,false,Rx,1,7,80,00,01,43,90,01,47,00
3309997227,00000110,false,Rx,1,5,91,00,00,02,EE,00,00,00
3309997448,00000115,false,Rx,1,7,80,00,80,00,00,02,59,00
3309998143,00000120,false,Rx,1,8,00,04,84,B0,00,00,01,DE
3310000084,00000125,false,Rx,1,6,00,00,00,05,01,6C,00,00
3310001180,00000165,false,Rx,1,8,01,F4,00,00,00,00,01,83
3310005113,00000130,false,Rx,1,7,80,00,01,42,90,02,EF,00
3310007221,00000110,false,Rx,1,5,91,00,00,03,F3,00,00,00
3310007449,00000115,false,Rx,1,7,80,00,80,00,00,03,44,00
3310008137,00000120,false,Rx,1,8,00,04,84,B0,00,00,02,F9
3310010085,00000125,false,Rx,1,6,00,00,00,05,02,4B,00,00
3310011180,00000165,false,Rx,1,8,01,F4,00,00,00,00,02,A4
3310015112,00000130,false,Rx,1,7,80,00,01,42,90,03,F2,00
3310017251,00000110,false,Rx,1,5,91,00,00,04,A0,00,00,00
3310017481,00000115,false,Rx,1,7,80,00,80,00,00,04,17,00
3310018144,00000120,false,Rx,1,8,00,04,84,B0,00,00,03,E4
3310020084,00000125,false,Rx,1,6,00,00,00,05,03,56,00,00
3310021188,00000165,false,Rx,1,8,01,F4,00,00,00,00,03,B9
3310025105,00000130,false,Rx,1,7,80,00,01,43,90,04,2E,00
3310027259,00000110,false,Rx,1,5,91,00,00,05,BD,00,00,00
3310027481,00000115,false,Rx,1,7,80,00,80,00,00,05,0A,00
3310028137,00000120,false,Rx,1,8,00,04,84,B0,00,00,04,B7
3310030085,00000125,false,Rx,1,6,00,00,00,05,04,05,00,00
3310031180,00000165,false,Rx,1,8,01,F4,00,00,00,00,04,EA
3310035112,00000130,false,Rx,1,7,80,00,01,43,90,05,33,00
3310037282,00000110,false,Rx,1,5,91,00,00,06,9A,00,00,00
3310037504,00000115,false,Rx,1,7,80,00,80,00,00,06,2D,00
3310038137,00000120,false,Rx,1,8,00,04,84,B0,00,00,05,AA
3310040085,00000125,false,Rx,1,6,00,00,00,05,05,18,00,00
3310041188,00000165,false,Rx,1,8,01,F4,00,00,00,00,05,F7
3310045104,00000130,false,Rx,1,7,80,00,01,42,90,06,9B,00
3310047290,00000110,false,Rx,1,5,91,00,00,07,87,00,00,00
3310047512,00000115,false,Rx,1,7,80,00,80,00,00,07,30,00
3310048137,00000120,false,Rx,1,8,00,04,84,B0,00,00,06,8D
3310050084,00000125,false,Rx,1,6,00,00,00,05,06,3F,00,00
3310051188,00000165,false,Rx,1,8,01,F4,00,00,00,00,06,D0
3310055105,00000130,false,Rx,1,7,80,00,01,42,90,07,86,00
3310057351,00000135,false,Rx,1,8,08,00,34,00,00,00,00,00
3310057536,00000110,false,Rx,1,5,91,00,00,08,3C,00,00,00
3310057767,00000115,false,Rx,1,7,80,00,80,00,00,08,8B,00
3310058152,00000120,false,Rx,1,8,00,04,84,B0,00,00,07,90
3310060079,00000125,false,Rx,1,6,00,00,00,05,07,22,00,00
3310061182,00000165,false,Rx,1,8,01,F4,00,00,00,00,07,CD
3310065114,00000130,false,Rx,1,7,80,00,01,42,90,08,3D,00
3310067321,00000110,false,Rx,1,5,91,00,00,09,21,00,00,00
3310067543,00000115,false,Rx,1,7,80,00,80,00,00,09,96,00
3310068145,00000120,false,Rx,1,8,00,04,84,B0,00,00,08,2B
3310070086,00000125,false,Rx,1,6,00,00,00,05,08,99,00,00
3310071182,00000165,false,Rx,1,8,01,F4,00,00,00,00,08,76
3310075113,00000130,false,Rx,1,7,80,00,01,42,90,09,20,00
3310077352,00000110,false,Rx,1,5,91,00,00,0A,06,00,00,00
3310077574,00000115,false,Rx,1,7,80,00,80,00,00,0A,B1,00
3310078146,00000120,false,Rx,1,8,00,04,84,B0,00,00,09,36
