Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3128819817,120,FALSE,Rx,0,8,0,4,84,B0,0,0,7,90
3128821764,125,FALSE,Rx,0,6,0,0,0,5,7,22,0,0
3128822862,165,FALSE,Rx,0,8,1,F4,0,0,0,0,7,CD
3128826787,130,FALSE,Rx,0,7,80,0,1,41,90,8,B1,0
3128828687,110,FALSE,Rx,0,5,91,0,0,9,21,0,0,0
3128828909,115,FALSE,Rx,0,7,80,0,80,0,0,9,96,0
3128829813,120,FALSE,Rx,0,8,0,4,84,B0,0,0,8,2B
3128831753,125,FALSE,Rx,0,6,0,0,0,5,8,99,0,0
3128832864,165,FALSE,Rx,0,8,1,F4,0,0,0,0,8,76
3128836787,130,FALSE,Rx,0,7,80,0,1,42,90,9,20,0
3128838709,110,FALSE,Rx,0,5,91,0,0,0A,6,0,0,0
3128838932,115,FALSE,Rx,0,7,80,0,80,0,0,0A,B1,0
3128839813,120,FALSE,Rx,0,8,0,4,84,B0,0,0,9,36
3128841753,125,FALSE,Rx,0,6,0,0,0,5,9,84,0,0
3128842866,165,FALSE,Rx,0,8,1,F4,0,0,0,0,9,6B
3128846783,130,FALSE,Rx,0,7,80,0,1,41,90,0A,8B,0
3128848728,110,FALSE,Rx,0,5,91,0,0,0B,1B,0,0,0
3128848951,115,FALSE,Rx,0,7,80,0,80,0,0,0B,AC,0
3128849808,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0A,11
3128851756,125,FALSE,Rx,0,6,0,0,0,5,0A,A3,0,0
3128852861,165,FALSE,Rx,0,8,1,F3,0,0,0,0,0A,83
3128856777,130,FALSE,Rx,0,7,80,0,1,42,90,0B,1A,0
3128858745,110,FALSE,Rx,0,5,91,0,0,0C,48,0,0,0
3128858975,115,FALSE,Rx,0,7,80,0,80,0,0,0C,FF,0
3128859817,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0B,0C
3128861757,125,FALSE,Rx,0,6,0,0,0,5,0B,BE,0,0
3128862854,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0B,51
